question_id,question,base_accuracy,base_clarity,base_educational,base_completeness,base_overall,ft_accuracy,ft_clarity,ft_educational,ft_completeness,ft_overall
0,What is a variable in Python?,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0
1,What is the difference between for loop and while loop in Python?,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.5
2,What is recursion? Please give an example.,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.5
3,Explain the difference between lists and tuples in Python.,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.75
4,What is encapsulation in OOP?,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.5
5,How do you handle exceptions in Python?,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0
6,Explain the principle of binary search algorithm.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.75
7,What is a dictionary comprehension in Python?,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.75
8,Explain the difference between stack and queue.,5.0,5.0,5.0,4.0,4.75,3.0,4.0,4.0,2.0,3.25
9,What is a decorator in Python? Give an example.,5.0,5.0,5.0,4.0,4.75,5.0,4.0,5.0,4.0,4.5
10,What is a list comprehension in Python?,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0
11,Explain deep copy and shallow copy in Python.,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
12,What is a hash table? Which Python data structure is based on it?,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
13,Explain inheritance in OOP.,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.25
14,What is polymorphism? Give an example.,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.75
15,What are generators in Python? What are their advantages?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75
16,Explain time complexity and space complexity.,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.25
17,What is bubble sort? What is its time complexity?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75
18,Explain lambda functions in Python.,5.0,4.0,4.0,4.0,4.25,5.0,5.0,4.0,4.0,4.5
19,What is a closure? How is it implemented in Python?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,5.0,5.0
20,Explain linked lists and their Python implementation.,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75
21,What is a binary tree? What are its traversal methods?,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.5
22,Explain the concept of dynamic programming.,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.75
23,What is a greedy algorithm? How does it differ from dynamic programming?,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
24,What are *args and **kwargs in Python?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,4.0,4.0,4.5
25,Explain context managers and the with statement in Python.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.75
26,What is a graph? What are its storage methods?,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.75
27,Explain the difference between BFS and DFS.,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.75
28,What are dunder methods (magic methods) in Python?,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0
29,Explain GIL (Global Interpreter Lock) in Python.,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
30,What is quicksort? What is its average time complexity?,4.0,4.0,4.0,3.0,3.75,4.0,4.0,3.0,2.0,3.25
31,What are the characteristics of Python sets?,5.0,5.0,5.0,4.0,4.75,3.0,4.0,4.0,2.0,3.25
32,Explain regular expressions in Python.,5.0,4.0,4.0,4.0,4.25,5.0,4.0,4.0,3.0,4.0
33,What are iterators and iterables?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75
34,Explain abstract classes and interfaces in OOP.,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
35,What is the Singleton pattern? How to implement it in Python?,5.0,4.0,5.0,4.0,4.5,5.0,5.0,5.0,4.0,4.75
36,Explain multi-threading and multi-processing in Python.,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
37,What is a database index? Why does it speed up queries?,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
38,Explain type hints (type annotations) in Python.,5.0,5.0,5.0,4.0,4.75,5.0,4.0,4.0,3.0,4.0
39,What is HTTP protocol? What are the common HTTP methods?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75
40,Explain RESTful API design principles.,4.0,4.0,4.0,3.0,3.75,5.0,4.0,5.0,4.0,4.5
41,What is Git? What are its common commands?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75
42,Explain asyncio asynchronous programming in Python.,5.0,4.0,4.0,4.0,4.25,5.0,5.0,5.0,4.0,4.75
43,What are design patterns? Name three common ones.,5.0,5.0,5.0,4.0,4.75,4.0,4.0,4.0,3.0,3.75
44,What is a dataclass in Python?,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.75
45,Explain merge sort's principle and complexity.,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.25
46,What is a hash collision? How to resolve it?,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
47,What is the difference between coroutines and threads in Python?,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
48,Explain metaclasses in Python.,5.0,4.0,5.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0
49,What is Docker? What problem does it solve?,5.0,4.0,4.0,4.0,4.25,5.0,5.0,5.0,4.0,4.75
